AirTemperature,RelativeH,AirPressure,WindDirection,WindSpeed,Ant1RefractionEL,Ant2refractionEL,Ant9refractionEL,Ant4refractionEL,Ant5refractionEL,Ant6refractionEL,Ant7refractionEL,Ant1PoitingEL,Ant2PoitingEL,Ant3PoitingEL,Ant4PoitingEL,Ant5PoitingEL,Ant6PoitingEL,Ant7PoitingEL,Ant1ScanEL,Ant2ScanEL,Ant3ScanEL,Ant4ScanEL,Ant5ScanEL,Ant6ScanEL,Ant7ScanEL,Ant1PointingAZ,Ant2PointingAZ,Ant3PointingAZ,Ant4PointingAZ,Ant5PointingAZ,Ant6PointingAZ,Ant7PointingAZ,Ant1refractionAZ,Ant2refractionAZ,Ant3refractionAZ,Ant4refractionAZ,Ant5refractionAZ,Ant6refractionAZ,Ant7refractionAZ,Ant1ScanAZ,Ant2ScanAZ,Ant3ScanAZ,Ant4ScanAZ,Ant5ScanAZ,Ant6ScanAZ,Ant7ScanAZ,AmpHH1,phaseHH1,AmpHH2,phaseHH2,AmpHH3,phaseHH3,AmpHH4,phaseHH4,AmpHH5,phaseHH5,AmpHH6,phaseHH6,AmpHH7,phaseHH7,AmpVV1,phaseVV1,AmpVV2,phaseVV2,AmpVV3,phaseVV3,AmpVV4,phaseVV4,AmpVV5,phaseVV5,AmpVV6,phaseVV6,AmpVV7,phaseVV7
1.944232238954879932e+01,1.873694156579821168e+01,8.949039497448058000e+02,8.529436436297882551e+01,2.175610344995646539e+00,1.308358610517749376e+01,1.323863793307017467e+01,1.315964157363429798e+01,1.308846423986053686e+01,1.310079626995585933e+01,1.306026361194565055e+01,1.311483972119654950e+01,1.325154969693751283e+01,1.332558600820142658e+01,1.310172324553304790e+01,1.325243132473610252e+01,1.308943566031642369e+01,1.293353553260764421e+01,1.319038051947066670e+01,1.301932361347599709e+01,1.317534489586899760e+01,1.309596779815626455e+01,1.302418774699757797e+01,1.303644966100040747e+01,1.299577630397226713e+01,1.305073067659825981e+01,-6.441495817132067714e+01,-6.442772425581831897e+01,-6.434562608679820528e+01,-6.418698271746920625e+01,-6.413934742914364051e+01,-6.429787373398639261e+01,-6.425226662308662640e+01,-6.428490813584738817e+01,-6.429363863000487811e+01,-6.430832627073840513e+01,-6.427968491346466351e+01,-6.421864176060454099e+01,-6.425791057402649642e+01,-6.436868024138171052e+01,-6.428710767435818241e+01,-6.429363863000487811e+01,-6.430600712749240699e+01,-6.427873203296108784e+01,-6.421850352437090237e+01,-6.425830050001498250e+01,-6.437005605836152711e+01,8.812980353832244873e-02,1.253003478050231934e+00,8.610041439533233643e-02,2.346138477325439453e+00,1.000000000000000000e+00,8.424030238529667258e-05,9.548409283161163330e-02,6.552888154983520508e-01,1.002098396420478821e-01,0.000000000000000000e+00,1.017250940203666687e-01,-1.825632095336914062e+00,9.162664413452148438e-02,-9.374643862247467041e-02,9.138306230306625366e-02,1.740057349205017090e+00,9.297935664653778076e-02,6.766011714935302734e-01,1.000000000000000000e+00,-7.064005558277131058e-07,9.828273206949234009e-02,2.448167800903320312e+00,1.052552163600921631e-01,0.000000000000000000e+00,1.045390293002128601e-01,2.735338687896728516e+00,8.619564771652221680e-02,-1.683209419250488281e+00
1.978617371846976525e+01,1.859273282818764272e+01,8.950698796297999706e+02,8.466016303529289644e+01,2.318638463193021249e+00,1.324438529334598158e+01,1.324032485470662657e+01,1.324083998718192490e+01,1.322538708126238305e+01,1.322547032025861213e+01,1.322313837876900777e+01,1.323009393773292075e+01,1.336659252525217489e+01,1.344078658986408925e+01,1.321681966465347458e+01,1.336764295353828480e+01,1.320477476464296274e+01,1.304870088028443753e+01,1.330557862821553528e+01,1.318097021900225130e+01,1.317666562844837941e+01,1.317737311815087331e+01,1.316169537775343201e+01,1.316154895010214787e+01,1.315958726202343421e+01,1.316640441876414869e+01,1.153364295557567942e+02,1.153152465398742095e+02,1.153760668503789475e+02,1.155386930461964283e+02,1.155906547688586272e+02,1.154343980622954291e+02,1.154717278973603527e+02,1.154672064355648899e+02,1.154629662114141553e+02,1.154239469164854199e+02,1.154415386669363954e+02,1.155067666868334868e+02,1.154631162591710876e+02,1.153541756100475482e+02,1.154644067452760368e+02,1.154629662114141553e+02,1.154245596540079504e+02,1.154415386669363954e+02,1.155063657071759735e+02,1.154636878383782204e+02,1.153547763689406338e+02,8.961128443479537964e-02,1.264816045761108398e+00,8.961863070726394653e-02,2.489912986755371094e+00,1.061015501618385315e-01,-2.283259391784667969e+00,1.010526195168495178e-01,6.202242374420166016e-01,9.758616238832473755e-02,0.000000000000000000e+00,1.009167134761810303e-01,-1.935635566711425781e+00,9.824158251285552979e-02,-1.301718801259994507e-01,9.044437855482101440e-02,1.752407550811767578e+00,9.525568783283233643e-02,8.423499464988708496e-01,1.011299714446067810e-01,1.973425626754760742e+00,9.968059509992599487e-02,2.428460836410522461e+00,1.007368639111518860e-01,0.000000000000000000e+00,1.033572480082511902e-01,2.626148223876953125e+00,8.879986405372619629e-02,-1.718098640441894531e+00
2.018293398497693758e+01,1.830572725000218881e+01,8.952143183525334962e+02,8.844071845025817424e+01,2.464088176332383640e+00,1.330909602342975440e+01,1.330900855307180208e+01,1.330866803116701469e+01,1.330861126658811067e+01,1.330878571489125406e+01,1.330941656082826796e+01,1.330797987447250641e+01,1.344445314315909812e+01,1.351873824721185713e+01,1.329486819092734962e+01,1.344569733816528156e+01,1.328269557616647134e+01,1.312680575806927763e+01,1.338350709993250476e+01,1.324586212874352675e+01,1.324582090332568107e+01,1.324551242955195818e+01,1.324540478781933217e+01,1.324558065302159449e+01,1.324628657133413334e+01,1.324482445821303855e+01,1.585058313327989765e+02,1.585031109691195752e+02,1.585976718088645612e+02,1.587368561727849112e+02,1.587249536270621491e+02,1.585910581164717996e+02,1.587606558436928310e+02,1.586416464966082174e+02,1.586414611629166416e+02,1.586417698584917275e+02,1.586418505450913869e+02,1.586418820432282928e+02,1.586419092582197266e+02,1.586421044319698410e+02,1.586416942733468716e+02,1.586414611629166416e+02,1.586417498221452718e+02,1.586418505450913869e+02,1.586418820825695093e+02,1.586419292583513538e+02,1.586421373927591958e+02,9.045764803886413574e-02,1.259964108467102051e+00,9.192877262830734253e-02,2.466580390930175781e+00,1.051519811153411865e-01,-2.291173696517944336e+00,1.027631610631942749e-01,6.086531281471252441e-01,9.681845456361770630e-02,0.000000000000000000e+00,9.990272670984268188e-02,-1.931728124618530273e+00,9.661764651536941528e-02,-1.285195350646972656e-01,9.089154750108718872e-02,1.744357347488403320e+00,9.760365635156631470e-02,8.059905171394348145e-01,1.004310846328735352e-01,1.964045524597167969e+00,1.008545756340026855e-01,2.417765617370605469e+00,1.003073975443840027e-01,0.000000000000000000e+00,1.026740744709968567e-01,2.632737636566162109e+00,8.737838268280029297e-02,-1.726032137870788574e+00
2.044261171449668169e+01,1.813902001340446901e+01,8.957950682657894959e+02,9.245152405543623786e+01,2.420617568725524471e+00,1.338729070861927539e+01,1.338727640187661905e+01,1.338681822786200470e+01,1.338693819751192216e+01,1.338693418367323140e+01,1.338768021369629402e+01,1.338620084040941727e+01,1.352275611226918706e+01,1.359705599449253199e+01,1.337309407475721912e+01,1.352390788654049025e+01,1.336089076740428361e+01,1.320488771114942494e+01,1.346171825025022883e+01,1.332456770111716793e+01,1.332443061850723076e+01,1.332408601880159793e+01,1.332411246737176391e+01,1.332409719659009539e+01,1.332498808125643563e+01,1.332334624662186329e+01,1.584250934803350219e+02,1.584223752042596232e+02,1.585169574064179869e+02,1.586562108155323187e+02,1.586443473861735356e+02,1.585105184331233090e+02,1.586799217499318502e+02,1.585610205459438191e+02,1.585608093527349638e+02,1.585610469334137065e+02,1.585611867839869831e+02,1.585611826192937883e+02,1.585612814632503103e+02,1.585614038007846602e+02,1.585610004729594493e+02,1.585608093527349638e+02,1.585611378270935177e+02,1.585611867839869831e+02,1.585611625925614874e+02,1.585612026458467483e+02,1.585614149675120075e+02,9.095343947410583496e-02,1.248213529586791992e+00,9.216594696044921875e-02,2.433403015136718750e+00,1.047147661447525024e-01,-2.305018663406372070e+00,1.033072844147682190e-01,5.855292081832885742e-01,9.864456951618194580e-02,-8.598368544943113534e-12,9.975977987051010132e-02,-1.937011599540710449e+00,9.452133625745773315e-02,-1.632323414087295532e-01,9.101036190986633301e-02,1.719256997108459473e+00,9.787010401487350464e-02,7.696226239204406738e-01,9.968708455562591553e-02,1.940167784690856934e+00,1.004928722977638245e-01,2.391072511672973633e+00,1.024428233504295349e-01,0.000000000000000000e+00,1.023045778274536133e-01,2.616950035095214844e+00,8.630907535552978516e-02,-1.766482710838317871e+00
2.048205411163623424e+01,1.809267433116056623e+01,8.958910363205842486e+02,9.546101416205875978e+01,2.228735181401719778e+00,4.057952004340350527e+01,4.057888850974060801e+01,4.057836653688670481e+01,4.057999394427868367e+01,4.057899703292045501e+01,4.057814927717217302e+01,4.057778996884224654e+01,4.070842405765048966e+01,4.078921316144364084e+01,4.056213450357167716e+01,4.071799002599630057e+01,4.056759575302965004e+01,4.041337799478686321e+01,4.066150315888320677e+01,4.056210086342138510e+01,4.056121872608174073e+01,4.056076330216356496e+01,4.056243948492208773e+01,4.056159252970545026e+01,4.056066465392925835e+01,4.056009512282017226e+01,1.409666059241820051e+02,1.409489088332790629e+02,1.410942439242054434e+02,1.412353667574390954e+02,1.412493529923153517e+02,1.411061656665945634e+02,1.412085933029515559e+02,1.411247996952067751e+02,1.411249947439296761e+02,1.411249556552928652e+02,1.411249541399039913e+02,1.411247721966610698e+02,1.411244488823128052e+02,1.411251155095162346e+02,1.411248144262674771e+02,1.411249947439296761e+02,1.411248846954642602e+02,1.411249541399039913e+02,1.411247532510887481e+02,1.411242900224555115e+02,1.411251121778160211e+02,8.994458615779876709e-02,1.207630872726440430e+00,9.056480228900909424e-02,2.398624420166015625e+00,1.045717373490333557e-01,-2.318480491638183594e+00,1.029631644487380981e-01,5.577810406684875488e-01,1.012386456131935120e-01,-1.675609824502988232e-11,1.015673801302909851e-01,-1.964456796646118164e+00,9.228268265724182129e-02,-1.970773339271545410e-01,9.096688777208328247e-02,1.690673232078552246e+00,9.687925130128860474e-02,7.374194860458374023e-01,9.938362985849380493e-02,1.941072344779968262e+00,1.001001894474029541e-01,2.381737947463989258e+00,1.046705991029739380e-01,0.000000000000000000e+00,1.037934944033622742e-01,2.605252742767333984e+00,8.480137586593627930e-02,-1.793962359428405762e+00
2.071422337487143750e+01,1.802181804705269741e+01,8.950431891046789588e+02,1.001566386554573285e+02,2.004999999999999893e+00,4.072315930269967055e+01,4.072329670815336300e+01,4.072268865662437065e+01,4.072268728196640808e+01,4.072273984005981617e+01,4.072319754868262009e+01,4.072197919115644282e+01,4.085200420949849587e+01,4.093377428124935591e+01,4.070645058286820017e+01,4.086100609950506168e+01,4.071139567361461076e+01,4.055858561646596172e+01,4.080538525233574632e+01,4.070553114019986651e+01,4.070565060924241862e+01,4.070514976264018969e+01,4.070507475588437529e+01,4.070515570531187421e+01,4.070557508644647271e+01,4.070437584939490705e+01,1.409822824304565643e+02,1.409645878850406007e+02,1.411104365190566909e+02,1.412513884879795683e+02,1.412656263061546440e+02,1.411220762486523768e+02,1.412242038850094161e+02,1.411407421007366452e+02,1.411409570991177702e+02,1.411409149941207204e+02,1.411408457635398577e+02,1.411407565392833874e+02,1.411402231040181618e+02,1.411410590523837243e+02,1.411407177503625405e+02,1.411409570991177702e+02,1.411408895649099122e+02,1.411408486501464381e+02,1.411407165764296678e+02,1.411402950211108021e+02,1.411410685176263371e+02,9.001151472330093384e-02,1.196681380271911621e+00,8.836853504180908203e-02,2.387148618698120117e+00,1.055971905589103699e-01,-2.322416305541992188e+00,1.004496216773986816e-01,5.275343656539916992e-01,1.039042398333549500e-01,3.265246059647175514e-11,1.031159386038780212e-01,-2.008588790893554688e+00,9.248692542314529419e-02,-2.574863433837890625e-01,9.133193641901016235e-02,1.667172670364379883e+00,9.451929479837417603e-02,7.148122787475585938e-01,1.004045009613037109e-01,1.934025406837463379e+00,9.803365916013717651e-02,2.346077442169189453e+00,1.068161055445671082e-01,0.000000000000000000e+00,1.044608950614929199e-01,2.549955368041992188e+00,8.572511374950408936e-02,-1.861377120018005371e+00
2.059885012959601980e+01,1.815577563576108844e+01,8.957000000000000455e+02,9.405742510492407860e+01,2.233555479188521709e+00,4.086043832598090120e+01,4.086051738702742853e+01,4.085999568982983021e+01,4.085997524165227190e+01,4.085995710968762040e+01,4.086044645040033174e+01,4.085921711307613435e+01,4.098929935215164733e+01,4.107098427873512492e+01,4.084369317004404820e+01,4.099820907273804949e+01,4.084866712815104961e+01,4.069595188419970100e+01,4.094281485542624210e+01,4.084285509045054141e+01,4.084301716168526042e+01,4.084248615419876671e+01,4.084244861085905853e+01,4.084248065282241669e+01,4.084298579182462419e+01,4.084167149392905571e+01,1.409990956983851902e+02,1.409813008247983248e+02,1.411274721950593687e+02,1.412684942128200873e+02,1.412828334256302014e+02,1.411391999999999882e+02,1.412409783768295597e+02,1.411576467991737900e+02,1.411578906535582405e+02,1.411578293126033827e+02,1.411578125228782881e+02,1.411576634887691455e+02,1.411572193186375443e+02,1.411579925578813572e+02,1.411576869699634074e+02,1.411578906535582405e+02,1.411577913554536394e+02,1.411578315616862085e+02,1.411576487300379767e+02,1.411572753297662928e+02,1.411579817836792756e+02,9.119653701782226562e-02,1.185949325561523438e+00,8.675985783338546753e-02,2.386047601699829102e+00,1.067536622285842896e-01,-2.320027828216552734e+00,9.761780500411987305e-02,5.153396129608154297e-01,1.061835289001464844e-01,6.390311196868836419e-11,1.042126417160034180e-01,-2.019158840179443359e+00,9.532169997692108154e-02,-2.721002399921417236e-01,9.238128364086151123e-02,1.663174033164978027e+00,9.203021228313446045e-02,7.120916247367858887e-01,1.015415191650390625e-01,1.941624164581298828e+00,9.528271108865737915e-02,2.337184667587280273e+00,1.091555878520011902e-01,0.000000000000000000e+00,1.055096387863159180e-01,2.548271894454956055e+00,8.875260502099990845e-02,-1.881842494010925293e+00
2.073709642037620782e+01,1.804751824110422831e+01,8.952668536570026845e+02,9.399257683816047404e+01,2.036707327625860930e+00,4.099538891055790657e+01,4.099562410040785920e+01,4.099507939114801047e+01,4.099507786248912566e+01,4.099513853935003738e+01,4.099550868209723831e+01,4.099419269368929974e+01,4.112449659267198854e+01,4.120607644782372603e+01,4.097885666279995576e+01,4.113315743947148917e+01,4.098390175385057432e+01,4.083106527420089549e+01,4.107778823304507654e+01,4.097818541501762724e+01,4.097829332687931725e+01,4.097771407119354592e+01,4.097763521979141643e+01,4.097761470928969629e+01,4.097816776449545983e+01,4.097684092878271400e+01,1.410162667771050451e+02,1.409984722316891350e+02,1.411450827771171816e+02,1.412859613226076760e+02,1.413005369589577640e+02,1.411568000000000040e+02,1.412580944794823665e+02,1.411750733450184043e+02,1.411753207749102899e+02,1.411752457093940052e+02,1.411751916900175274e+02,1.411750331864865586e+02,1.411746940175411282e+02,1.411754205189857316e+02,1.411750773968085753e+02,1.411753207749102899e+02,1.411753257046916588e+02,1.411751771916813709e+02,1.411750338346363094e+02,1.411745749294008192e+02,1.411754453334493746e+02,9.175869077444076538e-02,1.156959533691406250e+00,8.520122617483139038e-02,2.386761665344238281e+00,1.074059605598449707e-01,-2.333177328109741211e+00,9.590952098369598389e-02,4.989759027957916260e-01,1.082542911171913147e-01,6.268072172410654730e-11,1.054452955722808838e-01,-2.040143251419067383e+00,9.813019633293151855e-02,-2.726282775402069092e-01,9.319330751895904541e-02,1.637096524238586426e+00,9.046102315187454224e-02,7.239627242088317871e-01,1.028679385781288147e-01,1.923236727714538574e+00,9.435290843248367310e-02,2.319393634796142578e+00,1.113782599568367004e-01,0.000000000000000000e+00,1.068283692002296448e-01,2.527116775512695312e+00,9.137239307165145874e-02,-1.883844256401062012e+00
2.078926689426973695e+01,1.803066105025843058e+01,8.959895039059629198e+02,9.448847864060009272e+01,1.792460080256208066e+00,4.113043457203603026e+01,4.113058291473707584e+01,4.112994704739669771e+01,4.113005342827037225e+01,4.112992984535281948e+01,4.113047068951210861e+01,4.112919107960691179e+01,4.125924764556265245e+01,4.134106592577725792e+01,4.111368122219916188e+01,4.126814078726688706e+01,4.111874589098269439e+01,4.096607310151766512e+01,4.121279947547930789e+01,4.111305046383237283e+01,4.111325605975788022e+01,4.111258393481215734e+01,4.111268349834148239e+01,4.111269742096516921e+01,4.111311809314248933e+01,4.111178414726811070e+01,1.410341858495263807e+02,1.410163780626758978e+02,1.411633529955996664e+02,1.413042644263077818e+02,1.413189474547405098e+02,1.411749824404197682e+02,1.412760998807907526e+02,1.411931573952321912e+02,1.411934180622922668e+02,1.411933516487819702e+02,1.411933255000998315e+02,1.411931949248007925e+02,1.411927515563848203e+02,1.411934919573427578e+02,1.411931946096007948e+02,1.411934180622922668e+02,1.411934182899186112e+02,1.411933583621630817e+02,1.411931584736692571e+02,1.411927663006614750e+02,1.411935319574773757e+02,9.200329333543777466e-02,1.128692388534545898e+00,8.486738801002502441e-02,2.395646095275878906e+00,1.067701056599617004e-01,-2.347469329833984375e+00,9.470596164464950562e-02,5.013931393623352051e-01,1.093798130750656128e-01,6.203573765795056261e-11,1.058191880583763123e-01,-2.051337480545043945e+00,9.947191923856735229e-02,-2.583445608615875244e-01,9.397245943546295166e-02,1.616668224334716797e+00,8.966126292943954468e-02,7.384927868843078613e-01,1.027758643031120300e-01,1.917871356010437012e+00,9.281390905380249023e-02,2.319992065429687500e+00,1.121613979339599609e-01,-3.024863345912898183e-11,1.065336689352989197e-01,2.516108512878417969e+00,9.301932156085968018e-02,-1.861180663108825684e+00
2.090758441648385713e+01,1.774441884973517247e+01,8.948712435823896385e+02,1.036098280321699860e+02,1.687304914685450852e+00,4.126532569246440119e+01,4.126545796095309271e+01,4.126485644431471655e+01,4.126492571791541764e+01,4.126494222140539136e+01,4.126549076732318611e+01,4.126413244405684821e+01,4.139420161838545198e+01,4.147593234568789455e+01,4.124855325499909497e+01,4.140305967717254987e+01,4.125381099683878006e+01,4.110106616386373446e+01,4.134795767727398896e+01,4.124802383999956845e+01,4.124819339067057200e+01,4.124757452426392490e+01,4.124753766512402819e+01,4.124767757557280845e+01,4.124810542584656048e+01,4.124680298072522788e+01,1.410528924633187557e+02,1.410349763342765925e+02,1.411823635776574974e+02,1.413232417594764740e+02,1.413381110996838856e+02,1.411939424867580044e+02,1.412946704867378571e+02,1.412120421372179067e+02,1.412122780616606406e+02,1.412121695868376605e+02,1.412122350517088023e+02,1.412120361635137442e+02,1.412115871624332328e+02,1.412124382207642554e+02,1.412120737396085701e+02,1.412122780616606406e+02,1.412121707840446447e+02,1.412122132476607135e+02,1.412120417362915532e+02,1.412117072044831048e+02,1.412124044069838646e+02,9.217824786901473999e-02,1.094348788261413574e+00,8.414888381958007812e-02,2.404209852218627930e+00,1.060624495148658752e-01,-2.351761341094970703e+00,9.438722580671310425e-02,5.017030239105224609e-01,1.108771860599517822e-01,1.223959128493490311e-10,1.052915900945663452e-01,-2.064081192016601562e+00,9.879654645919799805e-02,-2.481617778539657593e-01,9.416605532169342041e-02,1.588477134704589844e+00,8.932887762784957886e-02,7.445312738418579102e-01,1.024024263024330139e-01,1.914509057998657227e+00,9.389671683311462402e-02,2.324551582336425781e+00,1.132798641920089722e-01,-2.994997305716395886e-11,1.054730415344238281e-01,2.506508827209472656e+00,9.206506609916687012e-02,-1.846844196319580078e+00
